model_name,score_transform,n_buckets,bucket_id,count,positive_count,positive_rate,mean_score,lift_vs_base_rate
logistic,noise_rank,100,1,600,0,0.0,0.004375023371454877,0.0
logistic,noise_rank,100,2,600,0,0.0,0.005520626829152252,0.0
logistic,noise_rank,100,3,600,0,0.0,0.006443973074394537,0.0
logistic,noise_rank,100,4,600,0,0.0,0.007244745925833088,0.0
logistic,noise_rank,100,5,600,0,0.0,0.008011868974404038,0.0
logistic,noise_rank,100,6,600,0,0.0,0.008713106039724293,0.0
logistic,noise_rank,100,7,600,0,0.0,0.00933535025892699,0.0
logistic,noise_rank,100,8,600,0,0.0,0.009937806727120784,0.0
logistic,noise_rank,100,9,600,0,0.0,0.010542219641399233,0.0
logistic,noise_rank,100,10,600,0,0.0,0.011097183476706272,0.0
logistic,noise_rank,100,11,600,1,0.0016666666666666668,0.011650018690537015,1.7241379310344829
logistic,noise_rank,100,12,600,0,0.0,0.012205367985805156,0.0
logistic,noise_rank,100,13,600,0,0.0,0.012736387016390962,0.0
logistic,noise_rank,100,14,600,0,0.0,0.013233045377226115,0.0
logistic,noise_rank,100,15,600,0,0.0,0.013716699446748849,0.0
logistic,noise_rank,100,16,600,0,0.0,0.014175415330055554,0.0
logistic,noise_rank,100,17,600,0,0.0,0.014650833339584614,0.0
logistic,noise_rank,100,18,600,0,0.0,0.015110253027986763,0.0
logistic,noise_rank,100,19,600,0,0.0,0.015571602240671603,0.0
logistic,noise_rank,100,20,600,0,0.0,0.016028234412323334,0.0
logistic,noise_rank,100,21,600,0,0.0,0.016481115535582565,0.0
logistic,noise_rank,100,22,600,0,0.0,0.01693576391540928,0.0
logistic,noise_rank,100,23,600,0,0.0,0.017373775308346925,0.0
logistic,noise_rank,100,24,600,0,0.0,0.017801212270878424,0.0
logistic,noise_rank,100,25,600,0,0.0,0.018219194320285435,0.0
logistic,noise_rank,100,26,600,0,0.0,0.018631851913158925,0.0
logistic,noise_rank,100,27,600,0,0.0,0.019034686302875584,0.0
logistic,noise_rank,100,28,600,0,0.0,0.019429840175698376,0.0
logistic,noise_rank,100,29,600,0,0.0,0.019830303570974622,0.0
logistic,noise_rank,100,30,600,0,0.0,0.02023218484281803,0.0
logistic,noise_rank,100,31,600,0,0.0,0.02060396114233897,0.0
logistic,noise_rank,100,32,600,0,0.0,0.02098127317562246,0.0
logistic,noise_rank,100,33,600,0,0.0,0.02138494345033509,0.0
logistic,noise_rank,100,34,600,0,0.0,0.02177557730642851,0.0
logistic,noise_rank,100,35,600,0,0.0,0.02218845552076784,0.0
logistic,noise_rank,100,36,600,0,0.0,0.02262625745119072,0.0
logistic,noise_rank,100,37,600,0,0.0,0.023051537111493273,0.0
logistic,noise_rank,100,38,600,0,0.0,0.02349757642090413,0.0
logistic,noise_rank,100,39,600,0,0.0,0.023960325384649796,0.0
logistic,noise_rank,100,40,600,0,0.0,0.02444058638974095,0.0
logistic,noise_rank,100,41,600,0,0.0,0.024942008242279108,0.0
logistic,noise_rank,100,42,600,0,0.0,0.025455804977587728,0.0
logistic,noise_rank,100,43,600,0,0.0,0.025999841356713103,0.0
logistic,noise_rank,100,44,600,0,0.0,0.02656272378886416,0.0
logistic,noise_rank,100,45,600,0,0.0,0.027103920940519555,0.0
logistic,noise_rank,100,46,600,0,0.0,0.027701271187670205,0.0
logistic,noise_rank,100,47,600,0,0.0,0.028303764806994376,0.0
logistic,noise_rank,100,48,600,1,0.0016666666666666668,0.02891396735392486,1.7241379310344829
logistic,noise_rank,100,49,600,0,0.0,0.029521329018168927,0.0
logistic,noise_rank,100,50,600,0,0.0,0.030198506644887158,0.0
logistic,noise_rank,100,51,600,0,0.0,0.03088677619696591,0.0
logistic,noise_rank,100,52,600,0,0.0,0.031579465151530324,0.0
logistic,noise_rank,100,53,600,0,0.0,0.03229926736749538,0.0
logistic,noise_rank,100,54,600,0,0.0,0.03304857156296621,0.0
logistic,noise_rank,100,55,600,0,0.0,0.03387756419740353,0.0
logistic,noise_rank,100,56,600,0,0.0,0.03473009461480083,0.0
logistic,noise_rank,100,57,600,1,0.0016666666666666668,0.03561838865410136,1.7241379310344829
logistic,noise_rank,100,58,600,0,0.0,0.036674371338739936,0.0
logistic,noise_rank,100,59,600,0,0.0,0.037648340113603185,0.0
logistic,noise_rank,100,60,600,0,0.0,0.03873446736274021,0.0
logistic,noise_rank,100,61,600,0,0.0,0.03981414223670804,0.0
logistic,noise_rank,100,62,600,0,0.0,0.041024692174224824,0.0
logistic,noise_rank,100,63,600,0,0.0,0.04220415949163234,0.0
logistic,noise_rank,100,64,600,0,0.0,0.04349100094591651,0.0
logistic,noise_rank,100,65,600,0,0.0,0.04490134888855579,0.0
logistic,noise_rank,100,66,600,0,0.0,0.046325244114953125,0.0
logistic,noise_rank,100,67,600,0,0.0,0.04779747725777452,0.0
logistic,noise_rank,100,68,600,0,0.0,0.04938594096545745,0.0
logistic,noise_rank,100,69,600,0,0.0,0.05103519544109694,0.0
logistic,noise_rank,100,70,600,0,0.0,0.05278627499971746,0.0
logistic,noise_rank,100,71,600,1,0.0016666666666666668,0.05472866451669982,1.7241379310344829
logistic,noise_rank,100,72,600,1,0.0016666666666666668,0.056711260112448446,1.7241379310344829
logistic,noise_rank,100,73,600,2,0.0033333333333333335,0.05879322516077982,3.4482758620689657
logistic,noise_rank,100,74,600,0,0.0,0.061150284071663494,0.0
logistic,noise_rank,100,75,600,1,0.0016666666666666668,0.06381577059825101,1.7241379310344829
logistic,noise_rank,100,76,600,1,0.0016666666666666668,0.06625542361043311,1.7241379310344829
logistic,noise_rank,100,77,600,0,0.0,0.06904070412471047,0.0
logistic,noise_rank,100,78,600,0,0.0,0.0721416876110012,0.0
logistic,noise_rank,100,79,600,0,0.0,0.07560618688437204,0.0
logistic,noise_rank,100,80,600,2,0.0033333333333333335,0.07915089052755057,3.4482758620689657
logistic,noise_rank,100,81,600,2,0.0033333333333333335,0.08313709795259257,3.4482758620689657
logistic,noise_rank,100,82,600,0,0.0,0.08742186291237031,0.0
logistic,noise_rank,100,83,600,0,0.0,0.09217424248258521,0.0
logistic,noise_rank,100,84,600,0,0.0,0.09768536006334948,0.0
logistic,noise_rank,100,85,600,0,0.0,0.10380762597145896,0.0
logistic,noise_rank,100,86,600,0,0.0,0.11029494430686804,0.0
logistic,noise_rank,100,87,600,1,0.0016666666666666668,0.11808260762859012,1.7241379310344829
logistic,noise_rank,100,88,600,0,0.0,0.1271747192969903,0.0
logistic,noise_rank,100,89,600,0,0.0,0.1380143542027297,0.0
logistic,noise_rank,100,90,600,0,0.0,0.15063351847230053,0.0
logistic,noise_rank,100,91,600,0,0.0,0.16497261959017384,0.0
logistic,noise_rank,100,92,600,0,0.0,0.18242682291612566,0.0
logistic,noise_rank,100,93,600,0,0.0,0.20341068393306044,0.0
logistic,noise_rank,100,94,600,2,0.0033333333333333335,0.2295305579908721,3.4482758620689657
logistic,noise_rank,100,95,600,2,0.0033333333333333335,0.2657073077687691,3.4482758620689657
logistic,noise_rank,100,96,600,1,0.0016666666666666668,0.3138371814969401,1.7241379310344829
logistic,noise_rank,100,97,600,7,0.011666666666666667,0.3834379838367164,12.068965517241379
logistic,noise_rank,100,98,600,6,0.01,0.4927075386994061,10.344827586206897
logistic,noise_rank,100,99,600,26,0.043333333333333335,0.703325762639019,44.827586206896555
logistic_balanced,raw,10,0,6000,0,0.0,0.008615872585506532,0.0
logistic_balanced,raw,10,1,6000,0,0.0,0.02108037171489941,0.0
logistic_balanced,raw,10,2,6000,0,0.0,0.03558414606267194,0.0
logistic_balanced,raw,10,3,6000,2,0.0003333333333333333,0.05400472841879605,0.3448275862068965
logistic_balanced,raw,10,4,6000,1,0.00016666666666666666,0.07981687786013304,0.17241379310344826
logistic_balanced,raw,10,5,6000,2,0.0003333333333333333,0.1176449415555929,0.3448275862068965
logistic_balanced,raw,10,6,6000,3,0.0005,0.17313168973937595,0.5172413793103449
logistic_balanced,raw,10,7,6000,4,0.0006666666666666666,0.26103025767110677,0.689655172413793
logistic_balanced,raw,10,8,6000,3,0.0005,0.4189892875334513,0.5172413793103449
logistic_balanced,raw,10,9,6000,43,0.007166666666666667,0.7283798901478764,7.413793103448276
logistic_balanced,raw,20,0,3000,0,0.0,0.0054421235229507115,0.0
logistic_balanced,raw,20,1,3000,0,0.0,0.011789621648062354,0.0
logistic_balanced,raw,20,2,3000,0,0.0,0.017855947710280637,0.0
logistic_balanced,raw,20,3,3000,0,0.0,0.02430479571951818,0.0
logistic_balanced,raw,20,4,3000,0,0.0,0.03151301243913892,0.0
logistic_balanced,raw,20,5,3000,0,0.0,0.03965527968620497,0.0
logistic_balanced,raw,20,6,3000,1,0.0003333333333333333,0.04877841881880536,0.3448275862068965
logistic_balanced,raw,20,7,3000,1,0.0003333333333333333,0.05923103801878672,0.3448275862068965
logistic_balanced,raw,20,8,3000,1,0.0003333333333333333,0.0722966351968494,0.3448275862068965
logistic_balanced,raw,20,9,3000,0,0.0,0.08733712052341668,0.0
logistic_balanced,raw,20,10,3000,0,0.0,0.10626268318124964,0.0
logistic_balanced,raw,20,11,3000,2,0.0006666666666666666,0.12902719992993614,0.689655172413793
logistic_balanced,raw,20,12,3000,0,0.0,0.1558996309812917,0.0
logistic_balanced,raw,20,13,3000,3,0.001,0.19036374849746024,1.0344827586206897
logistic_balanced,raw,20,14,3000,2,0.0006666666666666666,0.23307761379796535,0.689655172413793
logistic_balanced,raw,20,15,3000,2,0.0006666666666666666,0.2889829015442483,0.689655172413793
logistic_balanced,raw,20,16,3000,1,0.0003333333333333333,0.3657388807327155,0.3448275862068965
logistic_balanced,raw,20,17,3000,2,0.0006666666666666666,0.47223969433418717,0.689655172413793
logistic_balanced,raw,20,18,3000,3,0.001,0.6211666773484353,1.0344827586206897
logistic_balanced,raw,20,19,3000,40,0.013333333333333334,0.8355931029473177,13.793103448275863
logistic_balanced,raw,100,0,600,0,0.0,0.002338142373894004,0.0
logistic_balanced,raw,100,1,600,0,0.0,0.004270670700984996,0.0
logistic_balanced,raw,100,2,600,0,0.0,0.005633527869097429,0.0
logistic_balanced,raw,100,3,600,0,0.0,0.00685913477192176,0.0
logistic_balanced,raw,100,4,600,0,0.0,0.00810914189885537,0.0
logistic_balanced,raw,100,5,600,0,0.0,0.009381848657751289,0.0
logistic_balanced,raw,100,6,600,0,0.0,0.010570831629167705,0.0
logistic_balanced,raw,100,7,600,0,0.0,0.011765360146315022,0.0
logistic_balanced,raw,100,8,600,0,0.0,0.01300870710715822,0.0
logistic_balanced,raw,100,9,600,0,0.0,0.014221360699919527,0.0
logistic_balanced,raw,100,10,600,0,0.0,0.015393718512772544,0.0
logistic_balanced,raw,100,11,600,0,0.0,0.016620248178684575,0.0
logistic_balanced,raw,100,12,600,0,0.0,0.017838398766293326,0.0
logistic_balanced,raw,100,13,600,0,0.0,0.019071176835549042,0.0
logistic_balanced,raw,100,14,600,0,0.0,0.020356196258103705,0.0
logistic_balanced,raw,100,15,600,0,0.0,0.021575751067801487,0.0
logistic_balanced,raw,100,16,600,0,0.0,0.022926724865421803,0.0
logistic_balanced,raw,100,17,600,0,0.0,0.024274438692829272,0.0
logistic_balanced,raw,100,18,600,0,0.0,0.025665364134370584,0.0
logistic_balanced,raw,100,19,600,0,0.0,0.027081699837167777,0.0
logistic_balanced,raw,100,20,600,0,0.0,0.028475555890526423,0.0
logistic_balanced,raw,100,21,600,0,0.0,0.029948736810697176,0.0
logistic_balanced,raw,100,22,600,0,0.0,0.031441766616486365,0.0
logistic_balanced,raw,100,23,600,0,0.0,0.03300593597960744,0.0
logistic_balanced,raw,100,24,600,0,0.0,0.03469306689837719,0.0
logistic_balanced,raw,100,25,600,0,0.0,0.03633077154248317,0.0
logistic_balanced,raw,100,26,600,0,0.0,0.03800800064203693,0.0
logistic_balanced,raw,100,27,600,0,0.0,0.03962553413731285,0.0
logistic_balanced,raw,100,28,600,0,0.0,0.04129068373719266,0.0
logistic_balanced,raw,100,29,600,0,0.0,0.043021408371999234,0.0
logistic_balanced,raw,100,30,600,0,0.0,0.044946138143377834,0.0
logistic_balanced,raw,100,31,600,1,0.0016666666666666668,0.04685942440112838,1.7241379310344829
logistic_balanced,raw,100,32,600,0,0.0,0.04876058244349179,0.0
logistic_balanced,raw,100,33,600,0,0.0,0.0506644602468796,0.0
logistic_balanced,raw,100,34,600,0,0.0,0.05266148885914925,0.0
logistic_balanced,raw,100,35,600,0,0.0,0.054662125037672336,0.0
logistic_balanced,raw,100,36,600,0,0.0,0.05676090694270249,0.0
logistic_balanced,raw,100,37,600,0,0.0,0.05911277688644795,0.0
logistic_balanced,raw,100,38,600,0,0.0,0.06155685952700057,0.0
logistic_balanced,raw,100,39,600,1,0.0016666666666666668,0.06406252170011034,1.7241379310344829
logistic_balanced,raw,100,40,600,0,0.0,0.06665951918405492,0.0
logistic_balanced,raw,100,41,600,0,0.0,0.06938929923275722,0.0
logistic_balanced,raw,100,42,600,1,0.0016666666666666668,0.07227113479914343,1.7241379310344829
logistic_balanced,raw,100,43,600,0,0.0,0.07515563447085334,0.0
logistic_balanced,raw,100,44,600,0,0.0,0.07800758829743805,0.0
logistic_balanced,raw,100,45,600,0,0.0,0.08082519358807164,0.0
logistic_balanced,raw,100,46,600,0,0.0,0.0839267219655416,0.0
logistic_balanced,raw,100,47,600,0,0.0,0.08728788313752187,0.0
logistic_balanced,raw,100,48,600,0,0.0,0.090534961013557,0.0
logistic_balanced,raw,100,49,600,0,0.0,0.09411084291239133,0.0
logistic_balanced,raw,100,50,600,0,0.0,0.0979913021934359,0.0
logistic_balanced,raw,100,51,600,0,0.0,0.10199726300821363,0.0
logistic_balanced,raw,100,52,600,0,0.0,0.10624047225930319,0.0
logistic_balanced,raw,100,53,600,0,0.0,0.11038865293419235,0.0
logistic_balanced,raw,100,54,600,0,0.0,0.11469572551110317,0.0
logistic_balanced,raw,100,55,600,0,0.0,0.11924238775818999,0.0
logistic_balanced,raw,100,56,600,0,0.0,0.12408857943963678,0.0
logistic_balanced,raw,100,57,600,0,0.0,0.1289324674031086,0.0
logistic_balanced,raw,100,58,600,0,0.0,0.13390128227976142,0.0
logistic_balanced,raw,100,59,600,2,0.0033333333333333335,0.13897128276898396,3.4482758620689657
logistic_balanced,raw,100,60,600,0,0.0,0.144308586345364,0.0
logistic_balanced,raw,100,61,600,0,0.0,0.14988732935109142,0.0
logistic_balanced,raw,100,62,600,0,0.0,0.15543031955137485,0.0
logistic_balanced,raw,100,63,600,0,0.0,0.161706461686283,0.0
logistic_balanced,raw,100,64,600,0,0.0,0.16816545797234522,0.0
logistic_balanced,raw,100,65,600,0,0.0,0.17499122784225457,0.0
logistic_balanced,raw,100,66,600,1,0.0016666666666666668,0.1824411254537595,1.7241379310344829
logistic_balanced,raw,100,67,600,1,0.0016666666666666668,0.19003258854281965,1.7241379310344829
logistic_balanced,raw,100,68,600,0,0.0,0.1981918159622072,0.0
logistic_balanced,raw,100,69,600,1,0.0016666666666666668,0.2061619846862602,1.7241379310344829
logistic_balanced,raw,100,70,600,1,0.0016666666666666668,0.21452442295993535,1.7241379310344829
logistic_balanced,raw,100,71,600,0,0.0,0.2234053875283813,0.0
logistic_balanced,raw,100,72,600,0,0.0,0.23251078241525022,0.0
logistic_balanced,raw,100,73,600,0,0.0,0.24229290789156133,0.0
logistic_balanced,raw,100,74,600,1,0.0016666666666666668,0.2526545681946984,1.7241379310344829
logistic_balanced,raw,100,75,600,0,0.0,0.26362091125287274,0.0
logistic_balanced,raw,100,76,600,1,0.0016666666666666668,0.2759425076225741,1.7241379310344829
logistic_balanced,raw,100,77,600,1,0.0016666666666666668,0.2884943241231289,1.7241379310344829
logistic_balanced,raw,100,78,600,0,0.0,0.3011012967592393,0.0
logistic_balanced,raw,100,79,600,0,0.0,0.3157554679634264,0.0
logistic_balanced,raw,100,80,600,0,0.0,0.3312863282632536,0.0
