run_id,model_name,prior_method,prior_lambda,synthetic_prior_rho,calibration_method,score_transform,score_alpha,eval_split,average_precision,roc_auc,log_loss,brier_score,score_entropy,normalized_score_entropy,tie_rate,n_unique_scores,occupied_bins,max_score_gap,train_time_seconds,predict_time_seconds,n_train,n_eval,positive_rate_train,positive_rate_eval
633,rff_logistic,label_smoothing,0.1,,none,shrinkage,0.1,val,0.07115602523839568,0.8980839524183722,0.06611182703914562,0.009335987160887604,2.042183677970494,0.522027522623679,0.0,60000,30,0.01814723306773247,0.35769559800019124,0.3588629820001188,1740,60000,0.09009666666666666,0.0009666666666666667
634,rff_logistic,label_smoothing,0.1,,none,shrinkage,0.2,val,0.07115602523839568,0.8980839524183722,0.05852884569389555,0.007536880231073563,1.9280413564381602,0.49285020915339645,0.0,60000,27,0.016130873837984394,0.35769559800019124,0.3588629820001188,1740,60000,0.09009666666666666,0.0009666666666666667
635,rff_logistic,label_smoothing,0.1,,none,noise_rank,0.9,val,0.06336067712245881,0.8818455541506215,,,2.519927927611593,0.6441495676572083,0.0,60000,34,0.012224994820731916,0.35769559800019124,0.3588629820001188,1740,60000,0.09009666666666666,0.0009666666666666667
636,rff_logistic,label_smoothing,0.1,,none,noise_rank,0.95,val,0.06427722771592138,0.892916888624521,,,2.3394109185473777,0.5980054092987994,0.0,60000,33,0.018542888372560573,0.35769559800019124,0.3588629820001188,1740,60000,0.09009666666666666,0.0009666666666666667
637,rff_logistic,label_smoothing,0.1,,none,noise_rank,0.98,val,0.07265421688521806,0.8969063773141623,,,2.224913377184951,0.5687372937474453,0.0,60000,34,0.016173074866795978,0.35769559800019124,0.3588629820001188,1740,60000,0.09009666666666666,0.0009666666666666667
638,rff_logistic,label_smoothing,0.1,,none,noise_rank,0.99,val,0.07161128026981155,0.8979956486672749,,,2.2097558748395123,0.564862699368934,0.0,60000,34,0.020164196254560562,0.35769559800019124,0.3588629820001188,1740,60000,0.09009666666666666,0.0009666666666666667
639,rff_logistic,label_smoothing,0.1,,none,raw,,test,0.018725147262433902,0.9015473578482188,0.07355497957755121,0.011322409156105068,2.13787574633043,0.5464885414436497,0.0,60000,34,0.012493935942756718,0.35769559800019124,0.3275296140000137,1740,60000,0.09009666666666666,0.0009666666666666667
640,rff_logistic,label_smoothing,0.1,,none,shrinkage,0.01,test,0.018725147262433902,0.9015473578482188,0.07276955564381311,0.01111236678811943,2.128077705647836,0.5439839445460857,0.0,60000,33,0.012368996583329128,0.35769559800019124,0.3275296140000137,1740,60000,0.09009666666666666,0.0009666666666666667
641,rff_logistic,label_smoothing,0.1,,none,shrinkage,0.05,test,0.018725147262433902,0.9015473578482188,0.0696509168995947,0.010293707538125724,2.0870491162069875,0.5334961254857379,0.0,60000,32,0.011869239145618882,0.35769559800019124,0.3275296140000137,1740,60000,0.09009666666666666,0.0009666666666666667
642,rff_logistic,label_smoothing,0.1,,none,shrinkage,0.1,test,0.018725147262433902,0.9015473578482188,0.06580289255687555,0.009318781475018507,2.0343642725674753,0.5200287088661503,0.0,60000,30,0.011244542348481046,0.35769559800019124,0.3275296140000137,1740,60000,0.09009666666666666,0.0009666666666666667
643,rff_logistic,label_smoothing,0.1,,none,shrinkage,0.2,test,0.018725147262433902,0.9015473578482188,0.058265633705435874,0.007530256013420451,1.9186482231621713,0.4904491155854508,0.0,60000,27,0.009995148754205374,0.35769559800019124,0.3275296140000137,1740,60000,0.09009666666666666,0.0009666666666666667
644,rff_logistic,label_smoothing,0.1,,none,noise_rank,0.9,test,0.026527782984545598,0.9026173576986489,,,2.515068927195065,0.6429074991903855,0.0,60000,34,0.030922967020634573,0.35769559800019124,0.3275296140000137,1740,60000,0.09009666666666666,0.0009666666666666667
645,rff_logistic,label_smoothing,0.1,,none,noise_rank,0.95,test,0.021610049706087466,0.9055310938504924,,,2.334385556557223,0.5967208151174304,0.0,60000,34,0.026735216469269796,0.35769559800019124,0.3275296140000137,1740,60000,0.09009666666666666,0.0009666666666666667
646,rff_logistic,label_smoothing,0.1,,none,noise_rank,0.98,test,0.019103598902583598,0.9031281963369188,,,2.2172682187360633,0.5667830213829219,0.0,60000,34,0.012402412101739757,0.35769559800019124,0.3275296140000137,1740,60000,0.09009666666666666,0.0009666666666666667
647,rff_logistic,label_smoothing,0.1,,none,noise_rank,0.99,test,0.018851337712101218,0.9025517770626548,,,2.2020284324184245,0.5628873933928787,0.0,60000,34,0.012951084799024404,0.35769559800019124,0.3275296140000137,1740,60000,0.09009666666666666,0.0009666666666666667
648,rff_logistic,label_smoothing,0.2,,none,raw,,val,0.06903228326255147,0.8974767562666899,0.06568842822284152,0.009048178846490696,2.04414094160815,0.5225278426971909,0.0,60000,30,0.021522519717430244,0.2706670899999608,0.3764609489999202,1740,60000,0.08019333333333334,0.0009666666666666667
649,rff_logistic,label_smoothing,0.2,,none,shrinkage,0.01,val,0.06903228326255147,0.8974767562666899,0.06500476301657339,0.00888321060335935,2.0345004134364766,0.5200635094971313,0.0,60000,30,0.021307294520255926,0.2706670899999608,0.3764609489999202,1740,60000,0.08019333333333334,0.0009666666666666667
650,rff_logistic,label_smoothing,0.2,,none,shrinkage,0.05,val,0.06903228326255147,0.8974767562666899,0.06228643709745125,0.008240336373639748,1.9941373221948684,0.5097458065629711,0.0,60000,29,0.020446393731558654,0.2706670899999608,0.3764609489999202,1740,60000,0.08019333333333334,0.0009666666666666667
