n_train,repeat,setup,auc,average_precision,brier_score
500,13,greedy,0.49896465430271936,0.00941995825200113,0.01930228370341738
500,14,logistic,0.5642193526811652,0.013490589000479575,0.014779533794271169
500,14,catboost,0.47898808843409524,0.010184763685201248,0.010809220987646804
500,14,hgb,0.51358708271968,0.011813139725513174,0.010743089969912958
500,14,decision_tree,0.4837065951475177,0.010322064909864054,0.012111520836467661
500,14,figs,0.49856124079047676,0.010674411424971122,0.08535194962010031
500,14,greedy,0.49756548338247275,0.010611554407455126,0.019573641720908735
500,15,logistic,0.55702936149995,0.013249200690970526,0.014588403150732485
500,15,catboost,0.5012937908842077,0.010964236386404582,0.010131258380041943
500,15,hgb,0.531469244616749,0.010748310063277696,0.010106584506307309
500,15,decision_tree,0.49692557225087963,0.009841554491436498,0.011439725603918401
500,15,figs,0.5012630642795348,0.010088776935624457,0.08482513606082391
500,15,greedy,0.5008997472827138,0.010261560401410155,0.019574752830419845
500,16,logistic,0.5641837675762665,0.013138680358195202,0.014449769151927654
500,16,catboost,0.49332103079862055,0.009949167870278365,0.010121158397383158
500,16,hgb,0.4947997415968676,0.009827785057932904,0.010087415766054528
500,16,decision_tree,0.49216351290462224,0.009704811216331658,0.011463346592505563
500,16,figs,0.49720404011655506,0.01000021515580389,0.08584179380679592
500,16,greedy,0.4991517223360789,0.010017250747621012,0.019724814562814906
500,17,logistic,0.5656234208988121,0.01307472361385997,0.014976108871673376
500,17,catboost,0.5006808597361332,0.010359170231009974,0.010127990623431688
500,17,hgb,0.5288112168079873,0.011125492039113456,0.01011481636111891
500,17,decision_tree,0.5010530426679077,0.009879763710681546,0.011414288431098589
500,17,figs,0.49944860744504305,0.010029668329835234,0.08559225054187551
500,17,greedy,0.4994905021716841,0.010148663968190143,0.019991481219881573
500,18,logistic,0.544978465631305,0.011016410689259883,0.014356076097046894
500,18,catboost,0.47578197894707963,0.009169155185537,0.009613871583126134
500,18,hgb,0.5201841077506244,0.009622138586795387,0.009594873147037018
500,18,decision_tree,0.494834663994296,0.009295739722274045,0.010976882160875556
500,18,figs,0.5038251078813898,0.009643443449889454,0.08464028919791992
500,18,greedy,0.4963011066877804,0.009578153144662666,0.018924444200844538
500,19,logistic,0.5416062579461396,0.013887441661129964,0.015767995764460908
500,19,catboost,0.5022926057558946,0.012101453575741121,0.011277493235165819
500,19,hgb,0.5149450632801664,0.01195678829502941,0.011256487770946053
500,19,decision_tree,0.49951282940360614,0.011071665249874114,0.012526303748245872
500,19,figs,0.5042909153952843,0.011339110070257612,0.08568467397332752
500,19,greedy,0.5085684668284789,0.011549362430491376,0.02052246886380256
500,20,logistic,0.5819020509593373,0.01444455693738552,0.015301530276841781
500,20,catboost,0.5177577935348603,0.011500716262307623,0.01042784275563973
500,20,hgb,0.5278723978862131,0.011000665196890044,0.010376133470056823
500,20,decision_tree,0.5113027309732733,0.01053831250770125,0.011642724897577342
500,20,figs,0.5029660851815119,0.010421257186456334,0.0848990748059855
500,20,greedy,0.5046729019453803,0.010557809224631535,0.019510370112370463
500,21,logistic,0.5637419629841255,0.013489237437012185,0.015621876140099416
500,21,catboost,0.5123677081426211,0.011557564055680982,0.010820991844080632
500,21,hgb,0.5134506988670989,0.011307157864247625,0.010791612672312868
500,21,decision_tree,0.5054812146136659,0.010844853145825253,0.01207669253549454
500,21,figs,0.5030470079190543,0.010826217117056211,0.08545361539469752
500,21,greedy,0.49741482366048984,0.010868812275147797,0.020282839240572934
500,22,logistic,0.5651870785401003,0.012755152079953432,0.01353193716322719
500,22,catboost,0.5049731535538573,0.010065693847241562,0.009400531707293578
500,22,hgb,0.5270554652895585,0.010869955040963442,0.009327455694078831
500,22,decision_tree,0.5018204788403117,0.009198985863659956,0.01069483869620301
500,22,figs,0.5084024438026333,0.0095999748135232,0.08453862342332272
500,22,greedy,0.5100094100945243,0.009699440730002184,0.0187674071694075
