depth,l2_leaf_reg,feature,importance
3,1,x06,4.899482219507913
3,1,x07,2.3266801673980746
3,1,x08,0.25836795645432137
3,1,x09,1.437130164222012
3,1,x10,2.5451901269586537
3,1,x11,0.9742838546129264
3,1,x12,2.3175530141086376
3,1,x13,2.9154904161358712
3,1,x14,2.2638863750501685
3,1,x15,2.655732387711326
3,1,x16,0.926041465437663
3,1,x17,5.871604325867738
3,1,x18,4.131448348511981
3,1,x19,3.23593035323227
3,1,x20,2.2744777896604287
3,1,x21,2.9671494989096563
3,1,x22,1.4796160407294283
3,1,x23,0.772706773090489
3,1,x24,4.73612429334293
3,1,x25,3.1535605560498867
3,1,x26,1.0451763170705004
3,1,x27,1.7683908120483678
3,1,x28,2.206017549368641
3,1,x29,1.5803978458080687
3,1,x30,2.9373508038577536
3,1,x31,2.1808729448845634
3,1,x32,2.169543775942421
3,1,x33,2.8331880356097483
3,1,x34,3.26981719548744
3,1,x35,1.9520557478360443
3,1,x36,3.1273557977849773
3,1,x37,1.2719096248607402
3,1,x38,2.3989348634345555
3,1,x39,1.8555195041657002
3,3,x00,1.90146806273711
3,3,x01,2.5819942816040906
3,3,x02,0.7523467411931755
3,3,x03,4.147830098951734
3,3,x04,0.2810543337283151
3,3,x05,8.032375426467821
3,3,x06,6.593421683254298
3,3,x07,1.71064380076936
3,3,x08,0.3528872997570001
3,3,x09,1.800584203715028
3,3,x10,2.3868347425975007
3,3,x11,1.6971096606103198
3,3,x12,1.8432106120153553
3,3,x13,1.1910494614473406
3,3,x14,2.386938633474464
3,3,x15,1.8640425806308343
3,3,x16,0.9387544663048975
3,3,x17,5.54228331188576
3,3,x18,6.158941208245526
3,3,x19,6.827925793004008
3,3,x20,1.1110479582494421
3,3,x21,4.694640398046045
3,3,x22,0.553928437419926
3,3,x23,0.6153618260300778
3,3,x24,3.003405516709226
3,3,x25,3.3892446387064674
3,3,x26,0.4108716657047049
3,3,x27,2.6093953603535565
3,3,x28,1.5223790339970962
3,3,x29,1.7439658201453245
3,3,x30,1.1793199038642925
3,3,x31,3.314263306408671
3,3,x32,2.0942771028774296
3,3,x33,1.8088855208135004
3,3,x34,2.8132094856446326
3,3,x35,2.005839357267092
3,3,x36,2.5755543216802663
3,3,x37,0.6082366673890721
3,3,x38,2.092591794786954
3,3,x39,2.861885481512245
3,10,x00,1.4493080511826624
3,10,x01,2.412212273699458
3,10,x02,0.8533552392678773
3,10,x03,4.974710179935946
3,10,x04,0.14813996426011508
3,10,x05,12.818763311887498
3,10,x06,4.399267410108725
3,10,x07,1.885693444657163
3,10,x08,0.7419569775271077
3,10,x09,2.64663872803286
3,10,x10,1.5887280876012746
3,10,x11,1.0467366361399322
3,10,x12,1.0901351547976557
3,10,x13,1.4870113553640232
3,10,x14,1.4995147959926347
3,10,x15,1.3321329725479523
3,10,x16,0.7135664748868512
3,10,x17,5.761257457703575
3,10,x18,8.498552353036498
3,10,x19,7.223085984720028
3,10,x20,1.0070608734169073
3,10,x21,3.9568949235796014
3,10,x22,1.0780473962776058
3,10,x23,0.5829156216174254
3,10,x24,2.354958973012093
3,10,x25,3.2159043074722384
3,10,x26,0.18411233977283661
3,10,x27,3.0924822244335455
3,10,x28,2.0777692455463455
3,10,x29,1.346874526500457
3,10,x30,3.002101999582753
3,10,x31,4.013258230848973
3,10,x32,1.9263110274342883
3,10,x33,2.167777978680613
3,10,x34,1.1071237811574475
3,10,x35,0.8223195223435138
3,10,x36,2.2600034175116677
3,10,x37,0.37864975667496614
3,10,x38,1.7728665063877975
3,10,x39,1.081800494399105
3,30,x00,1.4798787483708107
3,30,x01,1.6964593583261693
