model,repeat,p_pos,roc_auc,average_precision,study
ap_model,21,0.1,0.7295118200754391,0.2352793964733954,imbalance
auc_model,22,0.1,0.7154124982001939,0.23371273276977372,imbalance
ap_model,22,0.1,0.7198376358094617,0.2423733042713797,imbalance
auc_model,23,0.1,0.6941379645569796,0.20524172842190225,imbalance
ap_model,23,0.1,0.6977575975018735,0.21879700806970676,imbalance
auc_model,24,0.1,0.7153263085874871,0.2258235304354449,imbalance
ap_model,24,0.1,0.7197984705494813,0.2322918354627411,imbalance
auc_model,25,0.1,0.6944289334359022,0.1891188810350551,imbalance
ap_model,25,0.1,0.6999434363545862,0.19368543426526236,imbalance
auc_model,26,0.1,0.7138249590746232,0.19486768296531637,imbalance
ap_model,26,0.1,0.7187987436681493,0.20666953044076702,imbalance
auc_model,27,0.1,0.7127594948377581,0.21781545450150144,imbalance
ap_model,27,0.1,0.7127329922566372,0.21416455936059514,imbalance
auc_model,28,0.1,0.6959915690631914,0.2277030034055626,imbalance
ap_model,28,0.1,0.7007959632004552,0.2369386338793895,imbalance
auc_model,29,0.1,0.7171528320796484,0.22084687135719724,imbalance
ap_model,29,0.1,0.7182731087346776,0.22500425233505134,imbalance
auc_model,30,0.1,0.7112205223027186,0.23292204279960696,imbalance
ap_model,30,0.1,0.7157739565074052,0.2415414650568081,imbalance
auc_model,31,0.1,0.6989407323428478,0.22750856513614146,imbalance
ap_model,31,0.1,0.7015359975931915,0.2374795727687447,imbalance
auc_model,32,0.1,0.7004563819028404,0.21105160926830085,imbalance
ap_model,32,0.1,0.7021592579473254,0.21541558850327136,imbalance
auc_model,33,0.1,0.7299258561113793,0.257399821053647,imbalance
ap_model,33,0.1,0.7350087844526737,0.2588716532727534,imbalance
auc_model,34,0.1,0.7245675280854663,0.2340067645602117,imbalance
ap_model,34,0.1,0.7255715466189231,0.24039487380727398,imbalance
auc_model,35,0.1,0.6971819104479704,0.20151968970414152,imbalance
ap_model,35,0.1,0.7041428856900456,0.20547887466277107,imbalance
auc_model,36,0.1,0.7118159792926873,0.20689221042539788,imbalance
ap_model,36,0.1,0.7197332885398575,0.21737313681765727,imbalance
auc_model,37,0.1,0.7054819130499591,0.19679701853182646,imbalance
ap_model,37,0.1,0.7104010831605432,0.19726650226865966,imbalance
auc_model,38,0.1,0.7515769368905898,0.2544966997164628,imbalance
ap_model,38,0.1,0.7503964488680483,0.26636730635042705,imbalance
auc_model,39,0.1,0.6853454091614383,0.18838911483799503,imbalance
ap_model,39,0.1,0.6874973789818963,0.19560299302867568,imbalance
auc_model,0,0.2,0.7405298614001273,0.43438519250124363,imbalance
ap_model,0,0.2,0.7394066337458763,0.4327641687645516,imbalance
auc_model,1,0.2,0.7367501616591906,0.44703636801356866,imbalance
ap_model,1,0.2,0.7357651913486056,0.44731951512563217,imbalance
auc_model,2,0.2,0.7358812034709414,0.4246278139268197,imbalance
ap_model,2,0.2,0.733514754083705,0.4237810159588669,imbalance
auc_model,3,0.2,0.7287966181978326,0.3970407415761209,imbalance
ap_model,3,0.2,0.7267569794793336,0.3984799085031586,imbalance
auc_model,4,0.2,0.7294292248490094,0.40665044463238664,imbalance
ap_model,4,0.2,0.7267341672727794,0.40478261157194123,imbalance
auc_model,5,0.2,0.749446138954174,0.4446366184184678,imbalance
ap_model,5,0.2,0.7463653460599555,0.4491211069098182,imbalance
auc_model,6,0.2,0.7207528618979503,0.4266040286780569,imbalance
ap_model,6,0.2,0.7201857384541626,0.4261715107218398,imbalance
auc_model,7,0.2,0.7469124532517121,0.41688313879063965,imbalance
ap_model,7,0.2,0.7457343913706904,0.41520998650997076,imbalance
auc_model,8,0.2,0.7292301885193749,0.41874019681433683,imbalance
ap_model,8,0.2,0.7275696346679441,0.4192269762052022,imbalance
auc_model,9,0.2,0.7290096396558134,0.4346206197309031,imbalance
ap_model,9,0.2,0.7255956357650264,0.43333114593495337,imbalance
auc_model,10,0.2,0.7454038949354593,0.4051640855997477,imbalance
ap_model,10,0.2,0.7409740098133547,0.40721352216721984,imbalance
auc_model,11,0.2,0.7321399769283405,0.40915831391209356,imbalance
ap_model,11,0.2,0.7322450340080758,0.4108235413799288,imbalance
auc_model,12,0.2,0.7253757659925839,0.4186991789188439,imbalance
ap_model,12,0.2,0.7227404695318932,0.4200978844867878,imbalance
auc_model,13,0.2,0.7374043722365367,0.43069956635437956,imbalance
ap_model,13,0.2,0.7345950581718993,0.43192668639698223,imbalance
