model,repeat,info_scale,roc_auc,average_precision,study
ap_model,35,0.5,0.5754565421641974,0.1291699675979599,feature_info
auc_model,36,0.5,0.5844528582978978,0.12235508041357823,feature_info
ap_model,36,0.5,0.5844528582978978,0.12235508041357823,feature_info
auc_model,37,0.5,0.5936606768649257,0.1252471809332063,feature_info
ap_model,37,0.5,0.5936606768649257,0.1252471809332063,feature_info
auc_model,38,0.5,0.6060422525907523,0.13364716451182743,feature_info
ap_model,38,0.5,0.6060422525907523,0.13364716451182743,feature_info
auc_model,39,0.5,0.568588169225692,0.11523021756183285,feature_info
ap_model,39,0.5,0.568588169225692,0.11523021756183285,feature_info
auc_model,0,0.8,0.6519758881880604,0.1797174192273449,feature_info
ap_model,0,0.8,0.6494767743907606,0.17872127535445492,feature_info
auc_model,1,0.8,0.6812458960616142,0.20289957821947432,feature_info
ap_model,1,0.8,0.6764921908718959,0.1943730055987562,feature_info
auc_model,2,0.8,0.6558014956111852,0.18507644257851086,feature_info
ap_model,2,0.8,0.6509190629852752,0.17887256130882434,feature_info
auc_model,3,0.8,0.6838801460841533,0.19043065476169507,feature_info
ap_model,3,0.8,0.6755772165608231,0.17730820020257415,feature_info
auc_model,4,0.8,0.6649238607910007,0.1865233547127692,feature_info
ap_model,4,0.8,0.664353606163951,0.18383070576801294,feature_info
auc_model,5,0.8,0.6780998189307536,0.2039229991391098,feature_info
ap_model,5,0.8,0.6711922706516328,0.19350146456226655,feature_info
auc_model,6,0.8,0.6773404914981794,0.21213873022829896,feature_info
ap_model,6,0.8,0.6750465704959678,0.20113421591974687,feature_info
auc_model,7,0.8,0.6816819150192432,0.20830649569614582,feature_info
ap_model,7,0.8,0.6767178047288989,0.1991765928653351,feature_info
auc_model,8,0.8,0.6567199410450681,0.18051494767204673,feature_info
ap_model,8,0.8,0.6501258195320098,0.1762729943728863,feature_info
auc_model,9,0.8,0.6730785131879456,0.2231636747803793,feature_info
ap_model,9,0.8,0.6676271272003119,0.21979042459620768,feature_info
auc_model,10,0.8,0.6649494014643349,0.1769513240959265,feature_info
ap_model,10,0.8,0.6651129319638258,0.17470847381442386,feature_info
auc_model,11,0.8,0.6503139284675779,0.1768916237859245,feature_info
ap_model,11,0.8,0.6496220994475138,0.168746211179462,feature_info
auc_model,12,0.8,0.6878545723606767,0.2106666434990782,feature_info
ap_model,12,0.8,0.6795439410755726,0.2030582681956782,feature_info
auc_model,13,0.8,0.6603316738722216,0.18927808491251774,feature_info
ap_model,13,0.8,0.6531320144984498,0.1809387917600947,feature_info
auc_model,14,0.8,0.6771465958212947,0.20215090735646868,feature_info
ap_model,14,0.8,0.6748583781716311,0.19517285493803144,feature_info
auc_model,15,0.8,0.6706777680434245,0.20948100495284197,feature_info
ap_model,15,0.8,0.6680153592081716,0.2053676594146395,feature_info
auc_model,16,0.8,0.6605118814757791,0.18026390193155165,feature_info
ap_model,16,0.8,0.6607758166027917,0.1759406858552635,feature_info
auc_model,17,0.8,0.6554639837772367,0.18763194473281858,feature_info
ap_model,17,0.8,0.653607996981491,0.1845876079527356,feature_info
auc_model,18,0.8,0.6459554136738496,0.1750163251354862,feature_info
ap_model,18,0.8,0.6494044160681032,0.1791756116310686,feature_info
auc_model,19,0.8,0.6522269485123009,0.19775924146077703,feature_info
ap_model,19,0.8,0.6495825350954096,0.18790421503724158,feature_info
auc_model,20,0.8,0.6790127644577584,0.19692828007906393,feature_info
ap_model,20,0.8,0.674887388627628,0.19204278385941725,feature_info
auc_model,21,0.8,0.6542640367445055,0.19541003919255565,feature_info
ap_model,21,0.8,0.6486034083104395,0.18774895998316818,feature_info
auc_model,22,0.8,0.6866399380113317,0.20130168925661923,feature_info
ap_model,22,0.8,0.6818337933230254,0.19589886772203527,feature_info
auc_model,23,0.8,0.6648282470610793,0.18928498190579784,feature_info
ap_model,23,0.8,0.6609484582869385,0.18367045939689447,feature_info
auc_model,24,0.8,0.6708468336080913,0.19362078845156078,feature_info
ap_model,24,0.8,0.6703532419006087,0.1891570234051508,feature_info
auc_model,25,0.8,0.6535951962937077,0.1993901523101371,feature_info
ap_model,25,0.8,0.6523276165856043,0.19776043091467682,feature_info
auc_model,26,0.8,0.6504569550291228,0.17141879761917675,feature_info
ap_model,26,0.8,0.6509081240735537,0.16432889971622636,feature_info
auc_model,27,0.8,0.6738202445970084,0.1950697289756234,feature_info
ap_model,27,0.8,0.6663143763847423,0.18783810554029312,feature_info
auc_model,28,0.8,0.6677191391046813,0.22190176055511013,feature_info
ap_model,28,0.8,0.6605803307610536,0.2112316074938801,feature_info
auc_model,29,0.8,0.6568703313541466,0.17288254471293346,feature_info
ap_model,29,0.8,0.6533777054204175,0.17243891645093434,feature_info
auc_model,30,0.8,0.6871180858485028,0.20316760794852165,feature_info
ap_model,30,0.8,0.6861827585776247,0.19417224640073838,feature_info
auc_model,31,0.8,0.6557270457596063,0.19358902140672618,feature_info
ap_model,31,0.8,0.6575107056649456,0.18831227508256138,feature_info
auc_model,32,0.8,0.6593885395213603,0.1877487960099244,feature_info
ap_model,32,0.8,0.6564303571625238,0.1834074429685116,feature_info
auc_model,33,0.8,0.6821587069765576,0.2086499577709845,feature_info
ap_model,33,0.8,0.6775124395798349,0.20043602779840933,feature_info
auc_model,34,0.8,0.6585053976103264,0.18202568206187358,feature_info
ap_model,34,0.8,0.6571098975947967,0.1781492634029501,feature_info
auc_model,35,0.8,0.6738939568724875,0.18885303125610392,feature_info
ap_model,35,0.8,0.6679694249883745,0.18498662326932394,feature_info
auc_model,36,0.8,0.6790433654792488,0.1960046481242833,feature_info
ap_model,36,0.8,0.6713770338264248,0.18742403416386288,feature_info
auc_model,37,0.8,0.6724052747427914,0.20105155598531158,feature_info
ap_model,37,0.8,0.6626175030731651,0.19361755060195363,feature_info
auc_model,38,0.8,0.6727218742166525,0.19948187196878603,feature_info
ap_model,38,0.8,0.6689475069381423,0.18972083387527505,feature_info
auc_model,39,0.8,0.6453532840705806,0.17400275007078705,feature_info
ap_model,39,0.8,0.6437092159294194,0.1689052599838583,feature_info
auc_model,0,1.2,0.7679851357799308,0.32133975886167887,feature_info
ap_model,0,1.2,0.7572304887662594,0.31483004036540063,feature_info
auc_model,1,1.2,0.753580299475551,0.2944928498235677,feature_info
ap_model,1,1.2,0.7467675929847237,0.28717837773843563,feature_info
auc_model,2,1.2,0.7800691500028648,0.3269969492234963,feature_info
ap_model,2,1.2,0.7733327543975248,0.32267130448767717,feature_info
auc_model,3,1.2,0.7601008324856984,0.29447357556755593,feature_info
ap_model,3,1.2,0.7526695991227881,0.28809487941211387,feature_info
auc_model,4,1.2,0.7660018340016079,0.31885983995224954,feature_info
ap_model,4,1.2,0.7577462771807026,0.3104235965132281,feature_info
auc_model,5,1.2,0.7728608021457921,0.2843077054461036,feature_info
ap_model,5,1.2,0.7658268877842915,0.29050561535562264,feature_info
auc_model,6,1.2,0.7676520837058873,0.2892030811850042,feature_info
ap_model,6,1.2,0.764347891296949,0.28628724119847027,feature_info
auc_model,7,1.2,0.7580350003854668,0.2918085416491194,feature_info
ap_model,7,1.2,0.7528508023216115,0.2851450737131211,feature_info
auc_model,8,1.2,0.7725346899892196,0.30471512264969186,feature_info
ap_model,8,1.2,0.7652254147451638,0.2999209457394715,feature_info
auc_model,9,1.2,0.7736958880529514,0.3079474437811156,feature_info
ap_model,9,1.2,0.763508266664797,0.299917343495526,feature_info
auc_model,10,1.2,0.768685611659663,0.27587244984994164,feature_info
ap_model,10,1.2,0.7621546022684098,0.27146216867688955,feature_info
auc_model,11,1.2,0.7711529791248886,0.3069282662757156,feature_info
ap_model,11,1.2,0.7666322432737298,0.30036523932572634,feature_info
auc_model,12,1.2,0.7833671111111111,0.3374806392015721,feature_info
ap_model,12,1.2,0.7726811111111112,0.3329508819566962,feature_info
auc_model,13,1.2,0.7763478754530765,0.31593825030839234,feature_info
ap_model,13,1.2,0.7682001397440936,0.3110482677609735,feature_info
auc_model,14,1.2,0.7718824812268902,0.3113716501706538,feature_info
ap_model,14,1.2,0.7636579730312585,0.30460500173234073,feature_info
auc_model,15,1.2,0.76991426059755,0.2948286445485944,feature_info
ap_model,15,1.2,0.7600118733659852,0.2879734694444258,feature_info
auc_model,16,1.2,0.7576693877974401,0.3141170740818506,feature_info
ap_model,16,1.2,0.749419987690946,0.3107394250252992,feature_info
auc_model,17,1.2,0.7753909399737766,0.31746705651722107,feature_info
ap_model,17,1.2,0.7674472465485448,0.3073917959774695,feature_info
auc_model,18,1.2,0.7646637657990385,0.28099495173903544,feature_info
ap_model,18,1.2,0.7584729854970471,0.27999424000628453,feature_info
auc_model,19,1.2,0.7855928502058425,0.3228882808822455,feature_info
ap_model,19,1.2,0.7829659655016852,0.321958271453415,feature_info
auc_model,20,1.2,0.78604146767495,0.3206978615186588,feature_info
ap_model,20,1.2,0.7822041158083417,0.31441341970824077,feature_info
auc_model,21,1.2,0.7771841509062865,0.30573900818909544,feature_info
ap_model,21,1.2,0.7703903599403508,0.301564515664021,feature_info
auc_model,22,1.2,0.7654157366071429,0.3051866255557138,feature_info
ap_model,22,1.2,0.7538332760989012,0.3045811937485942,feature_info
auc_model,23,1.2,0.77186469813897,0.28719234905555696,feature_info
ap_model,23,1.2,0.7634845938850794,0.2830003993226875,feature_info
auc_model,24,1.2,0.7694673576609085,0.3235320245420365,feature_info
ap_model,24,1.2,0.7610212193476121,0.32161001770483066,feature_info
auc_model,25,1.2,0.7748470939849352,0.3515352077841091,feature_info
ap_model,25,1.2,0.7693274868661624,0.35586864868770984,feature_info
auc_model,26,1.2,0.7696805195799912,0.2928916047795735,feature_info
ap_model,26,1.2,0.7603798932570187,0.2898453044112457,feature_info
auc_model,27,1.2,0.7651918324845444,0.3022809400780833,feature_info
ap_model,27,1.2,0.757067206450007,0.29532187106399427,feature_info
auc_model,28,1.2,0.7766868850626119,0.31550208536944196,feature_info
ap_model,28,1.2,0.7722336711253863,0.3067090572788891,feature_info
auc_model,29,1.2,0.7633714195212452,0.3091169967644388,feature_info
ap_model,29,1.2,0.7586546902574777,0.30562005941275905,feature_info
auc_model,30,1.2,0.7863144571049056,0.3123890515473246,feature_info
ap_model,30,1.2,0.7784255893636155,0.3086884837536827,feature_info
auc_model,31,1.2,0.7907123065491914,0.33851293935381016,feature_info
ap_model,31,1.2,0.7809334698621797,0.3267797578528861,feature_info
auc_model,32,1.2,0.7635046569083763,0.31699119628577455,feature_info
ap_model,32,1.2,0.7563689700458394,0.31275789764479484,feature_info
auc_model,33,1.2,0.7680707198357312,0.2877817467622483,feature_info
ap_model,33,1.2,0.7592062245461801,0.28581084340759266,feature_info
auc_model,34,1.2,0.7737629472887612,0.29213294449224636,feature_info
ap_model,34,1.2,0.7676513861566183,0.2860641375718607,feature_info
auc_model,35,1.2,0.7733169223914147,0.27953625708656454,feature_info
ap_model,35,1.2,0.7601377871696647,0.27232889319150483,feature_info
auc_model,36,1.2,0.76019348089577,0.3220430040825576,feature_info
ap_model,36,1.2,0.7517879006177042,0.31848657124728236,feature_info
auc_model,37,1.2,0.7450014013610019,0.2820860461579471,feature_info
ap_model,37,1.2,0.7409847644031884,0.28581980970269905,feature_info
auc_model,38,1.2,0.7656551111111112,0.2997433815936645,feature_info
ap_model,38,1.2,0.7583931111111111,0.2950855356248544,feature_info
auc_model,39,1.2,0.7501855269486676,0.2896913133498148,feature_info
ap_model,39,1.2,0.7419040210274453,0.2804716821683629,feature_info
auc_model,0,1.8,0.8694135115070527,0.5078813921949842,feature_info
ap_model,0,1.8,0.8671638499497795,0.5077646670764585,feature_info
auc_model,1,1.8,0.8717360438193869,0.5193835474633653,feature_info
ap_model,1,1.8,0.8694605747751546,0.5156521015314118,feature_info
auc_model,2,1.8,0.8695345575995674,0.5110510032420934,feature_info
ap_model,2,1.8,0.8670668903958794,0.5076626930203741,feature_info
auc_model,3,1.8,0.8749045995834894,0.55079310169015,feature_info
ap_model,3,1.8,0.8743244966023762,0.5507972713894356,feature_info
auc_model,4,1.8,0.8579977406580819,0.5178609811953693,feature_info
ap_model,4,1.8,0.8582610745921598,0.5170104683795059,feature_info
