model,repeat,p_pos,roc_auc,average_precision,n_iter,study,info_scale
ap_model,8,0.1,0.7204877379595627,0.21916373606133238,46.0,imbalance,
penalized_model,8,0.1,0.7181792663880798,0.22403981261310693,33.0,imbalance,
auc_model,9,0.1,0.7108805036339371,0.23283446582163453,86.0,imbalance,
ap_model,9,0.1,0.7149079587024321,0.23490857111600116,46.0,imbalance,
penalized_model,9,0.1,0.7145851053530555,0.23521908266560893,33.0,imbalance,
auc_model,10,0.1,0.6994432716068081,0.1942032830492647,86.0,imbalance,
ap_model,10,0.1,0.7036602192057686,0.20101080998380427,46.0,imbalance,
penalized_model,10,0.1,0.7060406479331646,0.21205854615489106,33.0,imbalance,
auc_model,11,0.1,0.7207875796358185,0.2331890103688843,86.0,imbalance,
ap_model,11,0.1,0.7268194100061776,0.2450664993750633,46.0,imbalance,
penalized_model,11,0.1,0.7194451289317377,0.23492901114817313,33.0,imbalance,
auc_model,12,0.1,0.6842313211969873,0.1911975585075567,86.0,imbalance,
ap_model,12,0.1,0.6883950257389727,0.1948148918212715,46.0,imbalance,
penalized_model,12,0.1,0.6830948278667524,0.19228816144815347,33.0,imbalance,
auc_model,13,0.1,0.706468425325229,0.22285056706056816,86.0,imbalance,
ap_model,13,0.1,0.7114440715196911,0.22525109140298083,46.0,imbalance,
penalized_model,13,0.1,0.70644454904529,0.22238376838114687,33.0,imbalance,
auc_model,14,0.1,0.702357643410773,0.19947396283364158,86.0,imbalance,
ap_model,14,0.1,0.7047799091430729,0.20612419444500452,46.0,imbalance,
penalized_model,14,0.1,0.7043404516448908,0.2145203590897729,33.0,imbalance,
auc_model,15,0.1,0.7145424845861529,0.23704196469780658,86.0,imbalance,
ap_model,15,0.1,0.7222863542497228,0.2477352061676272,46.0,imbalance,
penalized_model,15,0.1,0.7116598129195131,0.24822793256180856,33.0,imbalance,
auc_model,16,0.1,0.7166670381680524,0.21336119611831503,86.0,imbalance,
ap_model,16,0.1,0.7222727618899019,0.22849255857379552,46.0,imbalance,
penalized_model,16,0.1,0.7135698775531434,0.23006882296594106,33.0,imbalance,
auc_model,17,0.1,0.7190634766731382,0.20923536061229178,86.0,imbalance,
ap_model,17,0.1,0.7239871946478141,0.2172812992086315,46.0,imbalance,
penalized_model,17,0.1,0.7270834290716621,0.2232154079016335,33.0,imbalance,
auc_model,18,0.1,0.7269483338760447,0.2462758229506768,86.0,imbalance,
ap_model,18,0.1,0.7288639758519276,0.255710496832971,46.0,imbalance,
penalized_model,18,0.1,0.7279547189185744,0.2517967902002049,33.0,imbalance,
auc_model,19,0.1,0.7187176240109967,0.21806820148211156,86.0,imbalance,
ap_model,19,0.1,0.7203881330432619,0.21718706181619638,46.0,imbalance,
penalized_model,19,0.1,0.7265073437888971,0.23670233069127602,33.0,imbalance,
auc_model,20,0.1,0.7111941716819765,0.222048346866859,86.0,imbalance,
ap_model,20,0.1,0.7149020317661433,0.22793168680423176,46.0,imbalance,
penalized_model,20,0.1,0.7114523281596454,0.23163541857019482,33.0,imbalance,
auc_model,21,0.1,0.728715583688258,0.23214929794647102,86.0,imbalance,
ap_model,21,0.1,0.7295118200754391,0.2352793964733954,46.0,imbalance,
penalized_model,21,0.1,0.7260085063920146,0.24052137607596552,33.0,imbalance,
auc_model,22,0.1,0.7154124982001939,0.23371273276977372,86.0,imbalance,
ap_model,22,0.1,0.7198376358094617,0.2423733042713797,46.0,imbalance,
penalized_model,22,0.1,0.7245674393833994,0.2587371044513248,33.0,imbalance,
auc_model,23,0.1,0.6941379645569796,0.20524172842190225,86.0,imbalance,
ap_model,23,0.1,0.6977575975018735,0.21879700806970676,46.0,imbalance,
penalized_model,23,0.1,0.6920768270689082,0.2144659069576139,33.0,imbalance,
auc_model,24,0.1,0.7153263085874871,0.2258235304354449,86.0,imbalance,
